dt,value
2008-01-01,52290
2008-02-01,50980
2008-03-01,52030
2008-04-01,56410
2008-05-01,55200
2008-06-01,53940
2008-07-01,56290
2008-08-01,56960
2008-09-01,42960
2008-10-01,43590
2008-11-01,49300
2008-12-01,50330
2009-01-01,49440
2009-02-01,50800
2009-03-01,53760
2009-04-01,49730
2009-05-01,52830
2009-06-01,56070
2009-07-01,57050
2009-08-01,56620
2009-09-01,46640
2009-10-01,54450
2009-11-01,54650
2009-12-01,55280
2010-01-01,52550
2010-02-01,47220
2010-03-01,53550
2010-04-01,57890
2010-05-01,59320
2010-06-01,58000
2010-07-01,61000
2010-08-01,49820
2010-09-01,48410
2010-10-01,59040
2010-11-01,55700
2010-12-01,55840
2011-01-01,56410
2011-02-01,58010
2011-03-01,56200
2011-04-01,57210
2011-05-01,56870
2011-06-01,57760
2011-07-01,59950
2011-08-01,50980
2011-09-01,55180
2011-10-01,59160
2011-11-01,59090
2011-12-01,56220
2012-01-01,54990
2012-02-01,54910
2012-03-01,55960
2012-04-01,57910
2012-05-01,59190
2012-06-01,58580
2012-07-01,58810
2012-08-01,51020
2012-09-01,56190
2012-10-01,60370
2012-11-01,60500
2012-12-01,58610
2013-01-01,51980
2013-02-01,56890
2013-03-01,57760
2013-04-01,58600
2013-05-01,58700
2013-06-01,59240
2013-07-01,57260
2013-08-01,56280
2013-09-01,57010
2013-10-01,60040
2013-11-01,60680
2013-12-01,59820
2014-01-01,53550
2014-02-01,54670
2014-03-01,57320
2014-04-01,59280
2014-05-01,59620
2014-06-01,60410
2014-07-01,56720
2014-08-01,56750
2014-09-01,58910
2014-10-01,60260
2014-11-01,60290
2014-12-01,53200
2015-01-01,53320
2015-02-01,52320
2015-03-01,56820
2015-04-01,58640
2015-05-01,58720
2015-06-01,59920
2015-07-01,57180
2015-08-01,57670
2015-09-01,61390
2015-10-01,61750
2015-11-01,61080
2015-12-01,60130
2016-01-01,54440
2016-02-01,56150
2016-03-01,59090
2016-04-01,55640
2016-05-01,57600
2016-06-01,53060
2016-07-01,52510
2016-08-01,58170
2016-09-01,58310
2016-10-01,69890
2016-11-01,62590
2016-12-01,62040
2017-01-01,56750
2017-02-01,61830
2017-03-01,64250
2017-04-01,59170
2017-05-01,65300
2017-06-01,54450
2017-07-01,62160
2017-08-01,68150
2017-09-01,68130
2017-10-01,65220
2017-11-01,67300
2017-12-01,66370
2018-01-01,64739
2018-02-01,62430
2018-03-01,61770
2018-04-01,62910
2018-05-01,65610
2018-06-01,52480
2018-07-01,78790
2018-08-01,74120
2018-09-01,68330
2018-10-01,68720
2018-11-01,74290
2018-12-01,68230
2019-01-01,69840
2019-02-01,63370
2019-03-01,59560
2019-04-01,58920
2019-05-01,54320
2019-06-01,50510
2019-07-01,64150
2019-08-01,58110
2019-09-01,58970
2019-10-01,62670
2019-11-01,64170
2019-12-01,61590
2020-01-01,51370
2020-02-01,54280
2020-03-01,36930
2020-04-01,19840
2020-05-01,24320
2020-06-01,26470
2020-07-01,41030
2020-08-01,36180
2020-09-01,38960
2020-10-01,44330
2020-11-01,45630
2020-12-01,45400
2021-01-01,41120
2021-02-01,41530
2021-03-01,45110
2021-04-01,46590
2021-05-01,45230
2021-06-01,51900
2021-07-01,31720
2021-08-01,30800
2021-09-01,42620
